Period,sales
1-Jan-92,29778
1-Feb-92,28784
1-Mar-92,29794
1-Apr-92,30514
1-May-92,31821
1-Jun-92,30839
1-Jul-92,32452
1-Aug-92,31489
1-Sep-92,30298
1-Oct-92,31473
1-Nov-92,30613
1-Dec-92,34222
1-Jan-93,30213
1-Feb-93,28235
1-Mar-93,30654
1-Apr-93,30952
1-May-93,32121
1-Jun-93,31652
1-Jul-93,33208
1-Aug-93,31351
1-Sep-93,30679
1-Oct-93,31320
1-Nov-93,31012
1-Dec-93,35124
1-Jan-94,30361
1-Feb-94,28549
1-Mar-94,31976
1-Apr-94,31314
1-May-94,32432
1-Jun-94,32636
1-Jul-94,33329
1-Aug-94,32641
1-Sep-94,32044
1-Oct-94,32117
1-Nov-94,31992
1-Dec-94,36279
1-Jan-95,31094
1-Feb-95,29134
1-Mar-95,32491
1-Apr-95,31993
1-May-95,33207
1-Jun-95,33086
1-Jul-95,33529
1-Aug-95,33457
1-Sep-95,32375
1-Oct-95,32049
1-Nov-95,32549
1-Dec-95,36608
1-Jan-96,31779
1-Feb-96,31068
1-Mar-96,33133
1-Apr-96,32176
1-May-96,34621
1-Jun-96,33663
1-Jul-96,34609
1-Aug-96,35033
1-Sep-96,32270
1-Oct-96,33750
1-Nov-96,34173
1-Dec-96,36482
1-Jan-97,33290
1-Feb-97,30589
1-Mar-97,34447
1-Apr-97,32698
1-May-97,35571
1-Jun-97,33692
1-Jul-97,35430
1-Aug-97,35304
1-Sep-97,33111
1-Oct-97,34624
1-Nov-97,34318
1-Dec-97,37453
1-Jan-98,33487
1-Feb-98,30871
1-Mar-98,33624
1-Apr-98,34055
1-May-98,35911
1-Jun-98,34403
1-Jul-98,36439
1-Aug-98,35618
1-Sep-98,34072
1-Oct-98,35468
1-Nov-98,34820
1-Dec-98,39297
1-Jan-99,34440
1-Feb-99,32461
1-Mar-99,35577
1-Apr-99,35168
1-May-99,37294
1-Jun-99,36000
1-Jul-99,38137
1-Aug-99,36306
1-Sep-99,35777
1-Oct-99,36414
1-Nov-99,35936
1-Dec-99,42036
1-Jan-00,34458
1-Feb-00,33646
1-Mar-00,36464
1-Apr-00,36619
1-May-00,37913
1-Jun-00,37699
1-Jul-00,38244
1-Aug-00,38028
1-Sep-00,36958
1-Oct-00,36689
1-Nov-00,37640
1-Dec-00,42347
1-Jan-01,36338
1-Feb-01,34722
1-Mar-01,38565
1-Apr-01,37200
1-May-01,39835
1-Jun-01,39265
1-Jul-01,39428
1-Aug-01,39905
1-Sep-01,38049
1-Oct-01,38596
1-Nov-01,39295
1-Dec-01,43080
1-Jan-02,37959
1-Feb-02,35497
1-Mar-02,39623
1-Apr-02,36671
1-May-02,40589
1-Jun-02,38760
1-Jul-02,39917
1-Aug-02,40202
1-Sep-02,37244
1-Oct-02,38602
1-Nov-02,39744
1-Dec-02,42084
1-Jan-03,38862
1-Feb-03,35837
1-Mar-03,38767
1-Apr-03,38768
1-May-03,41237
1-Jun-03,39098
1-Jul-03,41087
1-Aug-03,40910
1-Sep-03,38656
1-Oct-03,39851
1-Nov-03,39921
1-Dec-03,43480
1-Jan-04,40203
1-Feb-04,37352
1-Mar-04,39898
1-Apr-04,39981
1-May-04,42209
1-Jun-04,40588
1-Jul-04,42605
1-Aug-04,40677
1-Sep-04,40404
1-Oct-04,41143
1-Nov-04,41218
1-Dec-04,46099
1-Jan-05,40618
1-Feb-05,38084
1-Mar-05,42427
1-Apr-05,41002
1-May-05,43210
1-Jun-05,42575
1-Jul-05,43863
1-Aug-05,42890
